Timestamp: 22:30:52.335 - Frame 77: x=-0.18, y=-0.03, z=0.72
Timestamp: 22:30:52.398 - Frame 78: x=-0.18, y=-0.03, z=0.73
Timestamp: 22:30:52.406 - Frame 79: x=-0.18, y=-0.03, z=0.73
Timestamp: 22:30:52.491 - Frame 80: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:52.518 - Frame 81: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:52.532 - Frame 82: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:52.587 - Frame 83: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:52.612 - Frame 84: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:52.626 - Frame 85: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:52.667 - Frame 86: x=-0.17, y=-0.03, z=0.73
Timestamp: 22:30:52.687 - Frame 87: x=-0.17, y=-0.03, z=0.73
Timestamp: 22:30:52.707 - Frame 88: x=-0.17, y=-0.03, z=0.73
Timestamp: 22:30:52.767 - Frame 89: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:52.780 - Frame 90: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:52.860 - Frame 91: x=-0.17, y=-0.03, z=0.73
Timestamp: 22:30:52.875 - Frame 92: x=-0.17, y=-0.03, z=0.73
Timestamp: 22:30:52.890 - Frame 93: x=-0.17, y=-0.03, z=0.73
Timestamp: 22:30:53.035 - Frame 94: x=-0.17, y=-0.03, z=0.73
Timestamp: 22:30:53.059 - Frame 95: x=-0.17, y=-0.03, z=0.73
Timestamp: 22:30:53.076 - Frame 96: x=-0.17, y=-0.03, z=0.73
Timestamp: 22:30:53.135 - Frame 97: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:53.156 - Frame 98: x=-0.17, y=-0.03, z=0.72
Timestamp: 22:30:53.225 - Frame 99: x=-0.17, y=-0.04, z=0.73
Timestamp: 22:30:53.246 - Frame 100: x=-0.17, y=-0.04, z=0.73
Timestamp: 22:30:53.265 - Frame 101: x=-0.17, y=-0.04, z=0.73
Timestamp: 22:30:53.307 - Frame 102: x=-0.17, y=-0.04, z=0.74
Timestamp: 22:30:53.323 - Frame 103: x=-0.17, y=-0.04, z=0.74
Timestamp: 22:30:53.342 - Frame 104: x=-0.17, y=-0.04, z=0.74
Timestamp: 22:30:53.404 - Frame 105: x=-0.17, y=-0.05, z=0.73
Timestamp: 22:30:53.419 - Frame 106: x=-0.17, y=-0.05, z=0.73
Timestamp: 22:30:53.432 - Frame 107: x=-0.17, y=-0.05, z=0.73
